Series ID,Year,Period,Label,Value
LASST110000000000003,2006,M01,2006 Jan,5.7
LASST110000000000003,2006,M02,2006 Feb,5.8
LASST110000000000003,2006,M03,2006 Mar,5.8
LASST110000000000003,2006,M04,2006 Apr,5.8
LASST110000000000003,2006,M05,2006 May,5.9
LASST110000000000003,2006,M06,2006 Jun,5.9
LASST110000000000003,2006,M07,2006 Jul,5.9
LASST110000000000003,2006,M08,2006 Aug,5.8
LASST110000000000003,2006,M09,2006 Sep,5.8
LASST110000000000003,2006,M10,2006 Oct,5.8
LASST110000000000003,2006,M11,2006 Nov,5.7
LASST110000000000003,2006,M12,2006 Dec,5.6
LASST110000000000003,2007,M01,2007 Jan,5.6
LASST110000000000003,2007,M02,2007 Feb,5.5
LASST110000000000003,2007,M03,2007 Mar,5.5
LASST110000000000003,2007,M04,2007 Apr,5.5
LASST110000000000003,2007,M05,2007 May,5.5
LASST110000000000003,2007,M06,2007 Jun,5.5
LASST110000000000003,2007,M07,2007 Jul,5.5
LASST110000000000003,2007,M08,2007 Aug,5.5
LASST110000000000003,2007,M09,2007 Sep,5.5
LASST110000000000003,2007,M10,2007 Oct,5.6
LASST110000000000003,2007,M11,2007 Nov,5.6
LASST110000000000003,2007,M12,2007 Dec,5.6
LASST110000000000003,2008,M01,2008 Jan,5.7
LASST110000000000003,2008,M02,2008 Feb,5.8
LASST110000000000003,2008,M03,2008 Mar,5.9
LASST110000000000003,2008,M04,2008 Apr,5.9
LASST110000000000003,2008,M05,2008 May,6.0
LASST110000000000003,2008,M06,2008 Jun,6.2
LASST110000000000003,2008,M07,2008 Jul,6.3
LASST110000000000003,2008,M08,2008 Aug,6.5
LASST110000000000003,2008,M09,2008 Sep,6.8
LASST110000000000003,2008,M10,2008 Oct,7.1
LASST110000000000003,2008,M11,2008 Nov,7.4
LASST110000000000003,2008,M12,2008 Dec,7.7
LASST110000000000003,2009,M01,2009 Jan,8.0
LASST110000000000003,2009,M02,2009 Feb,8.3
LASST110000000000003,2009,M03,2009 Mar,8.6
LASST110000000000003,2009,M04,2009 Apr,8.9
LASST110000000000003,2009,M05,2009 May,9.1
LASST110000000000003,2009,M06,2009 Jun,9.3
LASST110000000000003,2009,M07,2009 Jul,9.6
LASST110000000000003,2009,M08,2009 Aug,9.7
LASST110000000000003,2009,M09,2009 Sep,9.9
LASST110000000000003,2009,M10,2009 Oct,10.0
LASST110000000000003,2009,M11,2009 Nov,10.0
LASST110000000000003,2009,M12,2009 Dec,9.9
LASST110000000000003,2010,M01,2010 Jan,9.8
LASST110000000000003,2010,M02,2010 Feb,9.7
LASST110000000000003,2010,M03,2010 Mar,9.5
LASST110000000000003,2010,M04,2010 Apr,9.4
LASST110000000000003,2010,M05,2010 May,9.3
LASST110000000000003,2010,M06,2010 Jun,9.3
LASST110000000000003,2010,M07,2010 Jul,9.2
LASST110000000000003,2010,M08,2010 Aug,9.2
