Series ID,Year,Period,Label,Value
LASST320000000000003,2006,M01,2006 Jan,3.9
LASST320000000000003,2006,M02,2006 Feb,3.9
LASST320000000000003,2006,M03,2006 Mar,4.0
LASST320000000000003,2006,M04,2006 Apr,4.0
LASST320000000000003,2006,M05,2006 May,4.1
LASST320000000000003,2006,M06,2006 Jun,4.1
LASST320000000000003,2006,M07,2006 Jul,4.1
LASST320000000000003,2006,M08,2006 Aug,4.1
LASST320000000000003,2006,M09,2006 Sep,4.1
LASST320000000000003,2006,M10,2006 Oct,4.1
LASST320000000000003,2006,M11,2006 Nov,4.1
LASST320000000000003,2006,M12,2006 Dec,4.1
LASST320000000000003,2007,M01,2007 Jan,4.1
LASST320000000000003,2007,M02,2007 Feb,4.2
LASST320000000000003,2007,M03,2007 Mar,4.2
LASST320000000000003,2007,M04,2007 Apr,4.2
LASST320000000000003,2007,M05,2007 May,4.3
LASST320000000000003,2007,M06,2007 Jun,4.4
LASST320000000000003,2007,M07,2007 Jul,4.5
LASST320000000000003,2007,M08,2007 Aug,4.6
LASST320000000000003,2007,M09,2007 Sep,4.7
LASST320000000000003,2007,M10,2007 Oct,4.8
LASST320000000000003,2007,M11,2007 Nov,4.9
LASST320000000000003,2007,M12,2007 Dec,5.0
LASST320000000000003,2008,M01,2008 Jan,5.2
LASST320000000000003,2008,M02,2008 Feb,5.3
LASST320000000000003,2008,M03,2008 Mar,5.5
LASST320000000000003,2008,M04,2008 Apr,5.8
LASST320000000000003,2008,M05,2008 May,6.0
LASST320000000000003,2008,M06,2008 Jun,6.3
LASST320000000000003,2008,M07,2008 Jul,6.6
LASST320000000000003,2008,M08,2008 Aug,7.0
LASST320000000000003,2008,M09,2008 Sep,7.4
LASST320000000000003,2008,M10,2008 Oct,7.9
LASST320000000000003,2008,M11,2008 Nov,8.5
LASST320000000000003,2008,M12,2008 Dec,9.0
LASST320000000000003,2009,M01,2009 Jan,9.5
LASST320000000000003,2009,M02,2009 Feb,9.9
LASST320000000000003,2009,M03,2009 Mar,10.4
LASST320000000000003,2009,M04,2009 Apr,10.7
LASST320000000000003,2009,M05,2009 May,11.0
LASST320000000000003,2009,M06,2009 Jun,11.3
LASST320000000000003,2009,M07,2009 Jul,11.6
LASST320000000000003,2009,M08,2009 Aug,11.8
LASST320000000000003,2009,M09,2009 Sep,12.0
LASST320000000000003,2009,M10,2009 Oct,12.2
LASST320000000000003,2009,M11,2009 Nov,12.5
LASST320000000000003,2009,M12,2009 Dec,12.7
LASST320000000000003,2010,M01,2010 Jan,13.0
LASST320000000000003,2010,M02,2010 Feb,13.2
LASST320000000000003,2010,M03,2010 Mar,13.4
LASST320000000000003,2010,M04,2010 Apr,13.5
LASST320000000000003,2010,M05,2010 May,13.5
LASST320000000000003,2010,M06,2010 Jun,13.5
LASST320000000000003,2010,M07,2010 Jul,13.6
LASST320000000000003,2010,M08,2010 Aug,13.6
LASST320000000000003,2010,M09,2010 Sep,13.7
LASST320000000000003,2010,M10,2010 Oct,13.7
LASST320000000000003,2010,M11,2010 Nov,13.7
LASST320000000000003,2010,M12,2010 Dec,13.6
LASST320000000000003,2011,M01,2011 Jan,13.5
LASST320000000000003,2011,M02,2011 Feb,13.4
LASST320000000000003,2011,M03,2011 Mar,13.3
LASST320000000000003,2011,M04,2011 Apr,13.2
LASST320000000000003,2011,M05,2011 May,13.2
LASST320000000000003,2011,M06,2011 Jun,13.1
LASST320000000000003,2011,M07,2011 Jul,13.1
LASST320000000000003,2011,M08,2011 Aug,13.0
LASST320000000000003,2011,M09,2011 Sep,12.9
LASST320000000000003,2011,M10,2011 Oct,12.7
LASST320000000000003,2011,M11,2011 Nov,12.5
LASST320000000000003,2011,M12,2011 Dec,12.3
LASST320000000000003,2012,M01,2012 Jan,12.0
LASST320000000000003,2012,M02,2012 Feb,11.8
LASST320000000000003,2012,M03,2012 Mar,11.6
LASST320000000000003,2012,M04,2012 Apr,11.5
LASST320000000000003,2012,M05,2012 May,11.4
LASST320000000000003,2012,M06,2012 Jun,11.3
LASST320000000000003,2012,M07,2012 Jul,11.1
LASST320000000000003,2012,M08,2012 Aug,11.0
LASST320000000000003,2012,M09,2012 Sep,10.8
LASST320000000000003,2012,M10,2012 Oct,10.7
LASST320000000000003,2012,M11,2012 Nov,10.6
LASST320000000000003,2012,M12,2012 Dec,10.5
LASST320000000000003,2013,M01,2013 Jan,10.4
LASST320000000000003,2013,M02,2013 Feb,10.3
LASST320000000000003,2013,M03,2013 Mar,10.2
LASST320000000000003,2013,M04,2013 Apr,10.0
LASST320000000000003,2013,M05,2013 May,9.9
LASST320000000000003,2013,M06,2013 Jun,9.7
LASST320000000000003,2013,M07,2013 Jul,9.6
LASST320000000000003,2013,M08,2013 Aug,9.4
LASST320000000000003,2013,M09,2013 Sep,9.2
LASST320000000000003,2013,M10,2013 Oct,9.1
LASST320000000000003,2013,M11,2013 Nov,8.9
LASST320000000000003,2013,M12,2013 Dec,8.8
LASST320000000000003,2014,M01,2014 Jan,8.6
LASST320000000000003,2014,M02,2014 Feb,8.5
LASST320000000000003,2014,M03,2014 Mar,8.4
LASST320000000000003,2014,M04,2014 Apr,8.2
LASST320000000000003,2014,M05,2014 May,8.1
LASST320000000000003,2014,M06,2014 Jun,7.9
