Series ID,Year,Period,Label,Value
LASST410000000000003,2006,M01,2006 Jan,5.6
LASST410000000000003,2006,M02,2006 Feb,5.4
LASST410000000000003,2006,M03,2006 Mar,5.3
LASST410000000000003,2006,M04,2006 Apr,5.3
LASST410000000000003,2006,M05,2006 May,5.3
LASST410000000000003,2006,M06,2006 Jun,5.3
LASST410000000000003,2006,M07,2006 Jul,5.3
LASST410000000000003,2006,M08,2006 Aug,5.3
LASST410000000000003,2006,M09,2006 Sep,5.4
LASST410000000000003,2006,M10,2006 Oct,5.3
LASST410000000000003,2006,M11,2006 Nov,5.3
LASST410000000000003,2006,M12,2006 Dec,5.2
LASST410000000000003,2007,M01,2007 Jan,5.1
LASST410000000000003,2007,M02,2007 Feb,5.0
LASST410000000000003,2007,M03,2007 Mar,5.0
LASST410000000000003,2007,M04,2007 Apr,5.0
LASST410000000000003,2007,M05,2007 May,5.0
LASST410000000000003,2007,M06,2007 Jun,5.1
LASST410000000000003,2007,M07,2007 Jul,5.2
LASST410000000000003,2007,M08,2007 Aug,5.3
LASST410000000000003,2007,M09,2007 Sep,5.3
LASST410000000000003,2007,M10,2007 Oct,5.4
LASST410000000000003,2007,M11,2007 Nov,5.3
LASST410000000000003,2007,M12,2007 Dec,5.3
LASST410000000000003,2008,M01,2008 Jan,5.2
LASST410000000000003,2008,M02,2008 Feb,5.2
LASST410000000000003,2008,M03,2008 Mar,5.2
LASST410000000000003,2008,M04,2008 Apr,5.4
LASST410000000000003,2008,M05,2008 May,5.6
LASST410000000000003,2008,M06,2008 Jun,5.9
LASST410000000000003,2008,M07,2008 Jul,6.3
LASST410000000000003,2008,M08,2008 Aug,6.7
LASST410000000000003,2008,M09,2008 Sep,7.3
LASST410000000000003,2008,M10,2008 Oct,7.9
LASST410000000000003,2008,M11,2008 Nov,8.6
LASST410000000000003,2008,M12,2008 Dec,9.5
LASST410000000000003,2009,M01,2009 Jan,10.3
LASST410000000000003,2009,M02,2009 Feb,11.0
LASST410000000000003,2009,M03,2009 Mar,11.5
LASST410000000000003,2009,M04,2009 Apr,11.8
LASST410000000000003,2009,M05,2009 May,11.9
LASST410000000000003,2009,M06,2009 Jun,11.8
LASST410000000000003,2009,M07,2009 Jul,11.6
LASST410000000000003,2009,M08,2009 Aug,11.3
LASST410000000000003,2009,M09,2009 Sep,11.1
LASST410000000000003,2009,M10,2009 Oct,11.0
LASST410000000000003,2009,M11,2009 Nov,10.9
LASST410000000000003,2009,M12,2009 Dec,10.9
LASST410000000000003,2010,M01,2010 Jan,10.9
LASST410000000000003,2010,M02,2010 Feb,10.9
LASST410000000000003,2010,M03,2010 Mar,10.9
LASST410000000000003,2010,M04,2010 Apr,10.9
LASST410000000000003,2010,M05,2010 May,10.8
LASST410000000000003,2010,M06,2010 Jun,10.7
LASST410000000000003,2010,M07,2010 Jul,10.6
LASST410000000000003,2010,M08,2010 Aug,10.5
LASST410000000000003,2010,M09,2010 Sep,10.4
LASST410000000000003,2010,M10,2010 Oct,10.4
LASST410000000000003,2010,M11,2010 Nov,10.2
LASST410000000000003,2010,M12,2010 Dec,10.1
LASST410000000000003,2011,M01,2011 Jan,9.9
LASST410000000000003,2011,M02,2011 Feb,9.7
LASST410000000000003,2011,M03,2011 Mar,9.5
LASST410000000000003,2011,M04,2011 Apr,9.5
LASST410000000000003,2011,M05,2011 May,9.5
LASST410000000000003,2011,M06,2011 Jun,9.5
LASST410000000000003,2011,M07,2011 Jul,9.5
LASST410000000000003,2011,M08,2011 Aug,9.5
LASST410000000000003,2011,M09,2011 Sep,9.5
LASST410000000000003,2011,M10,2011 Oct,9.4
