Series ID,Year,Period,Label,Value
LASST490000000000003,2006,M01,2006 Jan,3.5
LASST490000000000003,2006,M02,2006 Feb,3.4
LASST490000000000003,2006,M03,2006 Mar,3.3
LASST490000000000003,2006,M04,2006 Apr,3.2
LASST490000000000003,2006,M05,2006 May,3.1
LASST490000000000003,2006,M06,2006 Jun,3.0
LASST490000000000003,2006,M07,2006 Jul,2.9
LASST490000000000003,2006,M08,2006 Aug,2.8
LASST490000000000003,2006,M09,2006 Sep,2.8
LASST490000000000003,2006,M10,2006 Oct,2.7
LASST490000000000003,2006,M11,2006 Nov,2.6
LASST490000000000003,2006,M12,2006 Dec,2.5
LASST490000000000003,2007,M01,2007 Jan,2.4
LASST490000000000003,2007,M02,2007 Feb,2.4
LASST490000000000003,2007,M03,2007 Mar,2.4
LASST490000000000003,2007,M04,2007 Apr,2.4
LASST490000000000003,2007,M05,2007 May,2.5
LASST490000000000003,2007,M06,2007 Jun,2.5
LASST490000000000003,2007,M07,2007 Jul,2.6
LASST490000000000003,2007,M08,2007 Aug,2.7
LASST490000000000003,2007,M09,2007 Sep,2.7
LASST490000000000003,2007,M10,2007 Oct,2.8
LASST490000000000003,2007,M11,2007 Nov,2.8
LASST490000000000003,2007,M12,2007 Dec,2.9
LASST490000000000003,2008,M01,2008 Jan,3.0
LASST490000000000003,2008,M02,2008 Feb,3.0
LASST490000000000003,2008,M03,2008 Mar,3.1
LASST490000000000003,2008,M04,2008 Apr,3.2
LASST490000000000003,2008,M05,2008 May,3.2
LASST490000000000003,2008,M06,2008 Jun,3.3
LASST490000000000003,2008,M07,2008 Jul,3.4
LASST490000000000003,2008,M08,2008 Aug,3.6
LASST490000000000003,2008,M09,2008 Sep,3.7
LASST490000000000003,2008,M10,2008 Oct,3.9
LASST490000000000003,2008,M11,2008 Nov,4.1
LASST490000000000003,2008,M12,2008 Dec,5.5
LASST490000000000003,2009,M01,2009 Jan,6.2
LASST490000000000003,2009,M02,2009 Feb,6.7
LASST490000000000003,2009,M03,2009 Mar,7.0
LASST490000000000003,2009,M04,2009 Apr,7.2
LASST490000000000003,2009,M05,2009 May,7.3
LASST490000000000003,2009,M06,2009 Jun,7.4
