Series ID,Year,Period,Label,Value
LASST560000000000003,2006,M01,2006 Jan,3.4
LASST560000000000003,2006,M02,2006 Feb,3.3
LASST560000000000003,2006,M03,2006 Mar,3.2
LASST560000000000003,2006,M04,2006 Apr,3.1
LASST560000000000003,2006,M05,2006 May,3.1
LASST560000000000003,2006,M06,2006 Jun,3.1
LASST560000000000003,2006,M07,2006 Jul,3.2
LASST560000000000003,2006,M08,2006 Aug,3.2
LASST560000000000003,2006,M09,2006 Sep,3.2
LASST560000000000003,2006,M10,2006 Oct,3.2
LASST560000000000003,2006,M11,2006 Nov,3.1
LASST560000000000003,2006,M12,2006 Dec,3.0
LASST560000000000003,2007,M01,2007 Jan,2.9
LASST560000000000003,2007,M02,2007 Feb,2.8
LASST560000000000003,2007,M03,2007 Mar,2.7
LASST560000000000003,2007,M04,2007 Apr,2.8
LASST560000000000003,2007,M05,2007 May,2.8
LASST560000000000003,2007,M06,2007 Jun,2.9
LASST560000000000003,2007,M07,2007 Jul,2.9
LASST560000000000003,2007,M08,2007 Aug,2.9
LASST560000000000003,2007,M09,2007 Sep,2.9
LASST560000000000003,2007,M10,2007 Oct,2.9
LASST560000000000003,2007,M11,2007 Nov,2.9
LASST560000000000003,2007,M12,2007 Dec,2.8
LASST560000000000003,2008,M01,2008 Jan,2.8
LASST560000000000003,2008,M02,2008 Feb,2.8
LASST560000000000003,2008,M03,2008 Mar,2.8
LASST560000000000003,2008,M04,2008 Apr,2.8
LASST560000000000003,2008,M05,2008 May,2.8
LASST560000000000003,2008,M06,2008 Jun,2.9
LASST560000000000003,2008,M07,2008 Jul,2.9
LASST560000000000003,2008,M08,2008 Aug,3.1
LASST560000000000003,2008,M09,2008 Sep,3.2
LASST560000000000003,2008,M10,2008 Oct,3.3
LASST560000000000003,2008,M11,2008 Nov,3.5
LASST560000000000003,2008,M12,2008 Dec,3.9
LASST560000000000003,2009,M01,2009 Jan,4.4
LASST560000000000003,2009,M02,2009 Feb,5.0
LASST560000000000003,2009,M03,2009 Mar,5.6
LASST560000000000003,2009,M04,2009 Apr,6.1
LASST560000000000003,2009,M05,2009 May,6.5
LASST560000000000003,2009,M06,2009 Jun,6.7
LASST560000000000003,2009,M07,2009 Jul,6.8
LASST560000000000003,2009,M08,2009 Aug,6.8
LASST560000000000003,2009,M09,2009 Sep,6.9
LASST560000000000003,2009,M10,2009 Oct,7.0
LASST560000000000003,2009,M11,2009 Nov,7.1
LASST560000000000003,2009,M12,2009 Dec,7.1
LASST560000000000003,2010,M01,2010 Jan,7.1
LASST560000000000003,2010,M02,2010 Feb,7.1
LASST560000000000003,2010,M03,2010 Mar,6.9
LASST560000000000003,2010,M04,2010 Apr,6.7
LASST560000000000003,2010,M05,2010 May,6.5
LASST560000000000003,2010,M06,2010 Jun,6.3
LASST560000000000003,2010,M07,2010 Jul,6.2
LASST560000000000003,2010,M08,2010 Aug,6.1
LASST560000000000003,2010,M09,2010 Sep,6.1
LASST560000000000003,2010,M10,2010 Oct,6.1
LASST560000000000003,2010,M11,2010 Nov,6.1
LASST560000000000003,2010,M12,2010 Dec,6.2
LASST560000000000003,2011,M01,2011 Jan,6.1
LASST560000000000003,2011,M02,2011 Feb,6.1
LASST560000000000003,2011,M03,2011 Mar,6.0
LASST560000000000003,2011,M04,2011 Apr,5.9
LASST560000000000003,2011,M05,2011 May,5.8
LASST560000000000003,2011,M06,2011 Jun,5.7
LASST560000000000003,2011,M07,2011 Jul,5.7
